name,count,count_2012,names
Felecia,10265,18966.0,Felecia
Marquita,10994,18943.0,Marquita
Palma,3555,18863.0,Palma
Bryanna,17008,18850.0,Bryanna
Tera,9763,18831.0,Tera
Etha,1802,18811.0,Etha
Carina,13858,18773.0,Carina
Rosita,6326,18757.0,Rosita
Marlena,10404,18747.0,Marlena
Alba,5300,18723.0,Alba
Elia,5957,18702.0,Elia
Jeanetta,5123,18693.0,Jeanetta
Demetria,10493,18636.0,Demetria
Dalia,10696,18594.0,Dalia
Valencia,10370,18591.0,Valencia
Laverna,3734,18457.0,Laverna
Neoma,3116,18432.0,Neoma
Zetta,1958,18397.0,Zetta
Lia,13444,18277.0,Lia
Deidra,10228,18246.0,Deidra
Zada,2622,18152.0,Zada
Freeda,3031,18100.0,Freeda
Tana,9100,18091.0,Tana
Nevada,2776,18059.0,Nevada
Maranda,11211,18056.0,Maranda
Tierra,14424,18038.0,Tierra
Sienna,17450,18021.0,Sienna
Tameka,12724,17920.0,Tameka
Ena,3028,17913.0,Ena
Mahala,2543,17898.0,Mahala
Lesa,11395,17868.0,Lesa
Malvina,1658,17867.0,Malvina
Lakeisha,12774,17766.0,Lakeisha
Charla,7929,17762.0,Charla
Clora,1799,17733.0,Clora
Ernestina,5229,17671.0,Ernestina
Liana,12061,17636.0,Liana
Helga,2201,17586.0,Helga
Mikaela,15529,17568.0,Mikaela
Johnna,9693,17559.0,Johnna
Lera,2465,17538.0,Lera
Bettina,6350,17484.0,Bettina
Loma,2283,17399.0,Loma
Christiana,9230,17381.0,Christiana
Sabra,4837,17375.0,Sabra
Delfina,3791,17363.0,Delfina
Izabella,17130,17327.0,Izabella
Reyna,12476,17290.0,Reyna
Bernita,4629,17243.0,Bernita
Enola,2653,17240.0,Enola
Zita,2793,17070.0,Zita
Drusilla,2867,17056.0,Drusilla
Sophronia,1469,17045.0,Sophronia
Lakisha,12301,16975.0,Lakisha
Odelia,2374,16952.0,Odelia
Gretta,3577,16839.0,Gretta
Rozella,2675,16806.0,Rozella
Deja,15068,16794.0,Deja
Naoma,2530,16766.0,Naoma
Cordia,1456,16710.0,Cordia
Kierra,14623,16684.0,Kierra
Giovanna,9934,16683.0,Giovanna
Goldia,1859,16672.0,Goldia
Trista,12194,16659.0,Trista
Santa,4228,16632.0,Santa
Vita,4151,16618.0,Vita
Latanya,9830,16605.0,Latanya
Nada,4566,16593.0,Nada
Annika,14550,16560.0,Annika
Cinda,4590,16541.0,Cinda
Arizona,2094,16526.0,Arizona
Danica,12872,16516.0,Danica
Oda,1325,16469.0,Oda
Aretha,5619,16457.0,Aretha
Almira,1656,16457.0,Almira
Herminia,3725,16454.0,Herminia
Ayanna,13374,16429.0,Ayanna
Oralia,5620,16421.0,Oralia
Ozella,2277,16391.0,Ozella
Vilma,4756,16320.0,Vilma
Tomasa,3090,16318.0,Tomasa
Docia,1106,16304.0,Docia
Alvena,1601,16290.0,Alvena
Euna,2088,16276.0,Euna
Delpha,2025,16242.0,Delpha
Birtha,1973,16207.0,Birtha
Thora,2030,16181.0,Thora
Vella,2002,16159.0,Vella
Catrina,9996,16091.0,Catrina
Eudora,2010,16084.0,Eudora
Katina,11185,16064.0,Katina
Dominga,3776,16034.0,Dominga
Jeanna,8624,15972.0,Jeanna
Vincenza,3428,15954.0,Vincenza
Luetta,2048,15860.0,Luetta
Mila,10007,15847.0,Mila
Olevia,1910,15845.0,Olevia
Isa,2264,15834.0,Isa
Arabella,7404,15826.0,Arabella
Marisela,9774,15761.0,Marisela
Yadira,11961,15699.0,Yadira
Jayda,15030,15675.0,Jayda
Marita,4923,15629.0,Marita
Anissa,11369,15595.0,Anissa
Isla,6887,15573.0,Isla
Romona,5144,15563.0,Romona
Kaila,12846,15558.0,Kaila
Tisha,9385,15556.0,Tisha
Anya,12783,15513.0,Anya
Rutha,2798,15506.0,Rutha
Monika,9330,15493.0,Monika
Pamala,7355,15469.0,Pamala
Arlena,2706,15467.0,Arlena
Erlinda,4603,15466.0,Erlinda
Alessandra,12730,15374.0,Alessandra
Minta,1282,15364.0,Minta
Andria,8619,15329.0,Andria
Herlinda,4282,15328.0,Herlinda
Teressa,6444,15222.0,Teressa
Elta,1405,15216.0,Elta
